feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
morph_solidity,-0.04347811854235846,-0.0793296337903669,0.06100632237186844,0.4286824501148261,0.16572646078043302,-0.07926669931447566,-0.19271385393615625,0.11218797172851488,0.08154539441948616,-0.0985891290055008,0.010408736221409379,0.06456492685244862,0.02107454630999875,-0.01822360977522148,0.029364780724119174
morph_extent,-0.05529877285556087,-0.08783991613930037,0.060064768306975616,0.4172015214453624,0.1823036885281377,-0.09351146280301237,-0.17468975777411605,0.1244985837682658,0.08928625960472844,-0.06273028081823184,-0.027922054403636102,0.056336726905795775,-0.007131341478087583,0.019037467379334184,0.07179131797432509
glcm_homogeneity_d1,0.14543673431976106,-0.15755394543308257,-0.12569321320793356,-0.06488357130255053,0.001467635710961529,-0.20930432175407548,-0.08446370955162313,-0.1341080885163739,0.06366286839680585,0.05895383762917794,0.20274718987186638,0.21456035985902772,0.13252545247593872,0.04465477441235653,-0.022362265595951225
glcm_contrast_d1,-0.17829195345303187,0.026580997607683482,-0.23589285364071583,0.028400730711634504,0.013717794071714785,0.054830650832607034,-0.025011052493616008,-0.0019861790951128545,0.015216724728203568,-0.054798653555842805,0.09698004816176325,0.013578647500705754,-0.015140418437987614,0.01244568482236598,-0.03439499829780163
glcm_entropy_d1,-0.011427899717532435,0.2378798511358142,0.08021231249802115,0.16330214010087327,-0.04578505371264037,0.23451927257921132,0.1608796171302961,0.06704021920587833,-0.14559728304502373,-0.02997061349712861,0.038255168835426456,-0.2584114510774528,0.16641845091372326,-0.029468042715112393,-0.02414383716117545
glcm_correlation_d1,0.18507334887668947,0.012133684421388197,0.11582577772250038,0.07152971297644878,-0.19136176953227496,-0.07710778485250279,0.036227576119587435,-0.06868863758566646,0.023923761914126263,0.38955823646074106,-0.09316175697177309,-0.03537688127076044,0.007971104920379168,-0.09332022811623858,-0.14719858581192358
glcm_homogeneity_d4,0.1152044226258542,-0.22005340500802073,-0.082165366565929,-0.05789742148372422,-0.03191470458801434,-0.1483743644985246,-0.073210766421718,-0.1588388347862648,0.052212089650063354,0.10203447277792616,0.08079438142793305,0.3524230749555291,-0.00880543347009849,0.02458084577535116,0.0003795473617614342
glcm_contrast_d4,-0.1962174302729126,0.036439256661708185,-0.1862197248382804,0.043487047084749056,-0.014028071124349355,0.10627699668889669,0.0064200254697073635,0.006468500971145307,-0.007463038729524869,-0.008816498007572223,0.0004311235750124043,0.05069565775464585,-0.09936118148546089,-0.03937676232959862,-0.04791276650099757
glcm_entropy_d4,-0.004013398349773399,0.24814358006571247,0.07404766031865653,0.1412662649233807,-0.014068536165119503,0.21098535810903055,0.13733159787875,0.08975717514875521,-0.1314722765716575,-0.054423024299067174,0.07076424041211993,-0.29752979424166837,0.18168434708770742,-0.019418508968219624,-0.03995664689843903
glcm_correlation_d4,0.20492701384880815,0.015082854735470157,-0.00019372977688388176,0.09154718763988424,-0.15446820130766542,-0.09051054777229756,0.015808816308158988,-0.13024055259513823,0.01746430024854619,0.28602257302310763,0.14834877888219553,-0.040530648478126846,0.20305055056643823,-0.04230240729249605,-0.1424852061638412
